vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
5TDXZ3DC2KS015402;Used;29403;Black;Red;39.998;4.4;4.6;45;4.7;4.7;4.6;4.6;4.6;Toyota;Sienna SE;2019;CarMax Murrieta - Now offering Curbside Pickup and Home Delivery
1FTEW1EG2JFD44217;Used;32929;Black;Shadow Black;49.985;4.6;4.8;817;4.9;4.7;4.8;4.8;4.8;Ford;F-150 Lariat;2018;Giant Chevrolet
1C6RR7VT5HS842283;Used;23173;Black;Granite Crystal Clearcoat Metallic;418.600;4.6;4.7;495;4.8;4.7;4.8;4.8;4.7;RAM;1500 Laramie;2017;Gill Auto Group Madera
1HGCV1F49MA038035;Used;10598;Black;Gray;28.500;5;5;36;4.9;5;5;4.9;5;Honda;Accord Sport SE;2021;AutoSavvy Las Vegas
2T2AZMAA8LC156270;Used;28137;Birch;Eminent White Pearl;49.000;4.7;4.8;76;4.9;4.9;4.8;4.8;4.8;Lexus;RX 350;2020;Lexus of Henderson
JTEZU5JR3C5043790;Used;105469;Black;Black;23.541;4.6;4.7;34;4.7;4.9;4.9;4.4;4.6;Toyota;4Runner SR5;2012;AutoNation Toyota Hayward
3CZRU5H32HG703897;Used;10458;Black;Modern Steel Metallic;20.995;4.5;4.6;200;4.6;4.8;4.7;4.4;4.4;Honda;HR-V LX;2017;Downtown Toyota-Subaru of Oakland
WDDHF5KB3EA778099;Used;58157;Saffron;Lunar Blue Metallic;18.985;4.6;4.8;176;4.9;4.8;4.9;4.8;4.8;Mercedes-Benz;E-Class E 350;2014;Downtown Toyota-Subaru of Oakland
5FNYF6H90MB052856;Used;14445;Beige;Platinum White Pearl;44.299;4.7;4.8;63;4.9;4.8;4.7;4.8;4.7;Honda;Pilot Touring 8-Passenger;2021;EchoPark Automotive Phoenix
2C3CDXGJ8LH157532;New;25642;Black;Triple Nickel Clearcoat;46.773;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;Bill Luke Chrysler Jeep Dodge RAM
JTHHE5BC2H5017212;Used;10236;Silver;Infrared;42.734;4.6;4.8;14;4.6;4.9;5;4.7;4.9;Lexus;RC 350 Base;2017;Chapman BMW on Camelback
JTHBE1BL3D5024808;Used;48605;Black;Gray;16.990;4.5;4.7;81;4.8;4.9;4.7;4.7;4.8;Lexus;GS 350 Base;2013;Expo Auto Sales LLC
2T2ZZMCA8HC086311;Used;47729;Gray;Nightfall Mica;36.450;4.5;4.7;261;4.8;4.8;4.7;4.6;4.7;Lexus;RX 350 RX 350;2017;Goldies Motors
2C3CDXGJ5LH162364;New;31538;Black;White Knuckle Clearcoat;47.500;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;Tempe Dodge Chrysler Jeep RAM
2C3CDXGJ4LH149735;Used;18717;Black;Octane Red Pearlcoat;41.000;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;AutoSavvy Gilbert
JTHHE5BC9H5016381;Used;34102;Sport;Silver Lining Metallic;41.493;4.6;4.8;14;4.6;4.9;5;4.7;4.9;Lexus;RC 350 Base;2017;AutoNation Nissan Chandler
1FM5K8D89JGB20589;Used;61294;Black;Red;32.995;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Driven Auto Sales
JF2GTAEC0M8340692;Used;11508;Black;Cool-Gray Khaki;25.500;4.8;4.8;78;4.9;4.8;4.8;4.8;4.8;Subaru;Crosstrek Premium;2021;AutoSavvy Lindon
1FM5K8D82JGC77140;Used;81375;Black;Red;33.341;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Larry H. Miller Used Car Supermarket Sandy
1FM5K7DH7JGC86801;Used;28357;Ebony Black;Ruby Red Metallic Tinted Clearcoat;30.489;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;EchoPark Automotive Salt Lake City Delivery Center
1FM5K8D81JGC67795;Used;33188;Ebony Black;Shadow Black;32.489;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;EchoPark Automotive Salt Lake City Delivery Center
5J8TC2H60ML034891;Used;5188;Red;Majestic Black Pearl;37.000;4.6;4.8;42;4.9;4.8;4.9;4.7;4.9;Acura;RDX A-Spec;2021;TJ Chapman Auto LLC
5J8TC2H65ML044042;Used;12878;Red;Apex Blue Pearl;38.000;4.6;4.8;42;4.9;4.8;4.9;4.7;4.9;Acura;RDX A-Spec;2021;TJ Chapman Auto LLC
1FM5K8D84JGB62068;Used;47661;Ebony Black;Magnetic;31.672;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Hertz Cars Sales Layton
JF2SKALC4MH401994;Used;10859;Gray;Ice Silver Metallic;29.500;4.8;4.9;109;4.9;4.9;4.8;4.9;4.9;Subaru;Forester Sport;2021;AutoSavvy Boise
JF2GTADC9JH323841;Used;30849;Black;Venetian Red Pearl;31.995;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;Jennifer's Auto Sales & Service
JF2GTADC4JH245601;Used;86759;Black;Venetian Red Pearl;24.561;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;AutoNation Audi Volkswagen Spokane
