max_rendimiento;tipo_transmision;tipo_motor;tipo_combustible;tipo_drivetrain
27;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;4WD
24;10-Speed A/T;3.5L V6 24V PDI DOHC Twin Turbo;Gasoline;4WD
21;8-Speed A/T;5.7L V8 16V MPFI OHV;Gasoline;4WD
35;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
27;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;4WD
23;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;RWD
34;Automatic CVT;1.8L I4 16V MPFI SOHC;Gasoline;4WD
30;7-Speed A/T;3.5L V6 24V GDI DOHC;Gasoline;RWD
26;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
24;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;RWD
28;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;RWD
28;6-Speed A/T;3.5L V6 24V GDI DOHC;Gasoline;RWD
27;8-Speed A/T;3.5L V6 24V GDI DOHC;Gasoline;4WD
24;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;RWD
24;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;RWD
28;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;RWD
22;6-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;4WD
33;10-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
22;A/T;Regular Unleaded V-6 3.5 L/213;Gasoline;4WD
24;6-Speed A/T;2.3L I4 16V GDI DOHC Turbo;Gasoline;4WD
22;6-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;4WD
26;10-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
26;Automatic CVT;2.5L H4 16V GDI DOHC;Gasoline;AWD
22;6-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;4WD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
30;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
30;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
28;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
28;6-Speed A/T;248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel;Gasoline;4WD
29;9-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
34;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
27;Automatic CVT;2.4L H4 16V GDI DOHC Turbo;Gasoline;AWD
28;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
31;6-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
26;10-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
29;Transmission w/Dual Shift Mode;240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel;Gasoline;4WD
25;7-Speed A/T;328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel;Gasoline;AWD
27;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;4WD
28;6-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
25;A/T;Regular Unleaded V-6 3.5 L/212;Gasoline;AWD
40;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
0;A/T;382.0HP Electric Motor Electric Fuel System;Electric;RWD
26;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
19;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;4WD
25;6-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;4WD
32;8-Speed A/T;Straight 6 Cylinder Engine;Gasoline;RWD
29;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
40;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
31;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
31;A/T;Intercooled Turbo Premium Unleaded I-4 2.0 L/121;Gasoline;AWD
34;8-Speed Automatic with Auto-Shift;2.4L I4 16V GDI DOHC;Gasoline;4WD
30;8-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;RWD
23;8-Speed A/T;380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel;Gasoline;4WD
32;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;RWD
36;Automatic CVT;1.5L I4 16V GDI DOHC Turbo;Gasoline;4WD
19;8-Speed A/T;5.0L V8 32V GDI DOHC Supercharged;Gasoline;4WD
19;6-Speed A/T;5.0L V8 32V MPFI DOHC Flexible Fuel;Flexible Fuel;4WD
31;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;4WD
30;6-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;4WD
24;1-Speed A/T;Electric Motor Electric Fuel System;Electric;AWD
30;8-Speed A/T;5.7L V8 16V MPFI OHV;Gasoline;RWD
77;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
36;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
29;9-Speed A/T;2.4L I4 16V MPFI SOHC;Gasoline;4WD
31;9-Speed A/T;4 Cylinder Engine;Gasoline;4WD
34;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;AWD
24;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
32;driver adaptive 7 speed automatic;V6 Cylinder Engine;Gasoline;AWD
30;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
23;8-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;AWD
27;8-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;AWD
27;9-Speed A/T;4.0L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
23;9-Speed A/T;4.0L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
27;8-Speed A/T;2.4L I4 16V GDI DOHC;Gasoline;AWD
