nombre;tipo;zip_code;estado;direccion;seller_rating;seller_reviews
#1 Cochran Buick GMC Monroeville;Dealer;15146;PA;4520 William Penn Hwy Monroeville;4.7;864
#1 Cochran Chevrolet;Dealer;16063;PA;22010 Perry Hwy Zelienople;4.7;308
#1 Cochran Ford;Dealer;15065;PA;110 Route 908 Bldg 1 Natrona Heights;3.4;5
#1 Cochran Hyundai Monroeville;Dealer;15146;PA;4520 William Penn Hwy Monroeville;4.8;1323
#1 Cochran Kia Robinson;Dealer;15205;PA;5200 Campbells Run Rd Pittsburgh;4.7;742
#1 Cochran Nissan Monroeville;Dealer;15235;PA;3355 William Penn Hwy Pittsburgh;4.7;238
#1 Cochran Nissan West Hills;Dealer;15108;PA;7900 University Blvd Coraopolis;4.8;266
#1 Cochran Subaru Monroeville;Dealer;15146;PA;4520 William Penn Hwy Monroeville;4.8;748
1 US Motors;Dealer;21040;MD;2210 Pulaski Hwy Edgewood;3.9;12
21 Century Auto Group;Dealer;7081;NJ;305 Route 22 East Springfield;4.4;3063
26 Motors Bronx;Dealer;10466;NY;4015 Boston Road Bronx;3.7;3
26 Motors Long Island;Dealer;11003;NY;1305 Hempstead Tpke Elmont;3.7;56
83 Autos LLC;Dealer;17406;PA;75 Cloverleaf Rd York;4.3;10
94 Nissan Of South Holland;Dealer;60473;IL;16269 Van Dam Road South Holland;4.8;2369
A & H Quality Cars;Dealer;20152;VA;25354 Pleasant Valley Rd Chantilly;4.1;49
A&A International Inc;Dealer;21215;MD;5304 Park Heights Ave Baltimore;4.6;32
A.I. Monroe Auto Sales;Dealer;84010;UT;1231 S 425 W Bountiful;2.2;16
A2Z Autos;Dealer;46240;IN;7270 N Keystone Ave Indianapolis;4.7;122
Abeloff Nissan;Dealer;18321;PA;3259 Route 611 Bartonsville;3.4;75
Abramovich Motors;Dealer;92562;CA;41379 Date St Murrieta;4.4;73
Absolute Auto Sales;Dealer;2302;MA;1008 Centre St Brockton;4.9;215
ABZ Motors;Dealer;77074;TX;9120 Southwest Freeway Houston;4.2;77
Accelerate Auto Group;Dealer;75088;TX;5201 Grisham Dr Rowlett;4.3;6
Accurate Automotive of Jacksonville;Dealer;32256;FL;7840 Philips Hwy Jacksonville;4.9;1114
Action Auto Group LLC;Dealer;60172;IL;200 N Garden Ave. Roselle;3.7;3
Action Auto Sales and Finance Inc.;Dealer;84043;UT;170 W State Rd Lehi;4.3;104
Action Pre-owned Automotive;Dealer;22309;VA;8150 Richmond Hwy Alexandria;4.8;178
Acton Toyota of Littleton;Dealer;1460;MA;221 Great Rd Route 2A Littleton;4.8;3682
Acura & Volvo of Athens;Dealer;30606;GA;2890 Atlanta Highway Athens;4.9;69
Acura by Executive;Dealer;6473;CT;527 Washington Ave North Haven;4.8;489
Acura Carland;Dealer;30096;GA;3403 Satellite Blvd Duluth;4.5;145
Acura of Alhambra;Dealer;91801;CA;1700 W Main St Alhambra;3.1;48
Acura of Bellevue;Dealer;98005;WA;13424 NE 20th St Bellevue;3;4
Acura of Brookfield;Dealer;53045;WI;19180 W Bluemound Rd Brookfield;4.8;1653
Acura of Ellicott City;Dealer;21043;MD;8559 Baltimore National Pike Ellicott City;4.6;431
Acura of Honolulu;Dealer;96819;HI;3251 North Nimitz Hwy Honolulu;4.9;867
Acura of Omaha;Dealer;68137;NE;4211 South 144th St. Omaha;4.8;247
Acura of Orange Park;Dealer;32244;FL;7200 Blanding Blvd Jacksonville;4.1;310
Acura of Pembroke Pines;Dealer;33027;FL;15601 Pines Blvd Pembroke Pines;4.8;6479
Acura of Peoria;Dealer;85382;AZ;9190 W Bell Rd. Peoria;4.8;2053
Acura of Ramsey;Dealer;7446;NJ;65 NJ-17 Ramsey;4.8;1773
Acura of Valley Stream;Dealer;11563;NY;881 Sunrise Hwy Lynbrook;4.5;337
Acura of Wappingers Falls;Dealer;12590;NY;1271 Route 9 Wappingers Falls;4.8;557
Adam Auto Group;Dealer;60445;IL;13901 S Cicero Ave Crestwood;4.5;68
Adams North Charlotte;Dealer;28213;NC;6027 N Tryon St Charlotte;4.6;1569
Admiral Motors;Dealer;60004;IL;400 W Northwest Hwy Arlington Heights;4.8;24
Advantage Acura of Naperville;Dealer;60540;IL;2275 Aurora Ave Naperville;4.7;433
Advantage BMW Midtown;Dealer;77002;TX;1305 Gray St Houston;4.4;722
Advantage Chevrolet of Bridgeview;Dealer;60455;IL;8200 S Harlem Ave Bridgeview;4.7;1585
Advantage Chrysler Jeep Dodge RAM;Dealer;32757;FL;18311 US-441 Mt Dora;3.9;96
Advantage Hyundai;Dealer;11801;NY;440 Plainview Rd Hicksville;4.7;2781
Advantage Toyota Valley Stream;Dealer;11581;NY;400 W. Sunrise Hwy Valley Stream;4.5;2862
AE of Miami;Dealer;33142;FL;5700 NW 27th Ave Miami;3.5;63
Affordable Auto Credit;Dealer;63116;MO;4568 Gravois Ave St. Louis;3.1;12
Airpark Dodge Chrysler Jeep RAM;Dealer;85260;AZ;7801 E Frank Lloyd Wright Blvd Scottsdale;4.3;900
AIRPORT INFINITI;Dealer;44135;OH;13940 Brookpark Rd Cleveland;4.8;241
Airport Marina Honda;Dealer;90045;CA;5850 W Centinela Ave Los Angeles;4.3;361
Al Serra Auto Plaza;Dealer;48439;MI;6201 S Saginaw Rd Grand Blanc Charter Township;4.8;1636
Alan Byer Volvo Cars;Dealer;13204;NY;1230 W Genesee St. Syracuse;4.7;158
Albany Subaru;Dealer;94706;CA;718 San Pablo Avenue Albany;4;23
Albo Auto Sales;Dealer;60067;IL;505 W Colfax Palatine;4.5;34
Albrecht Autoland North;Dealer;3060;NH;105 Daniel Webster Hwy Nashua;3.3;16
Albrecht Buick GMC of Wakefield;Dealer;1880;MA;614 North Ave Wakefield;4.5;92
Alex Auto Sales;Dealer;40505;KY;1118 Winchester Rd Lexington;4;5
Alexander Nissan;Dealer;17756;PA;10 Alexander Drive Muncy;4.9;331
Alexandria VW;Dealer;22305;VA;107 W Glebe Rd Alexandria;4.6;866
Alfa Romeo and Fiat of Maple Shade;Dealer;8052;NJ;587 NJ-38 Maple Township;4.4;777
Alfa Romeo Maserati of Manhattan;Dealer;10019;NY;629 W 54th St New York;3.4;15
Alfa Romeo of Fort Worth;Dealer;76108;TX;400 W Loop 820 S Fort Worth;4.1;289
Alfa Romeo of Minneapolis;Dealer;55416;MN;1820 QUENTIN AVENUE SOUTH ST. LOUIS PARK;4.8;756
Alfa Romeo of St. Petersburg;Dealer;33782;FL;3033 Gandy Boulevard Pinellas Park;4.9;370
Alfa Romeo of Tysons and Maserati of Tysons;Dealer;22182;VA;8448 Leesburg Pike Vienna;4.7;259
All American Chevrolet Of Midland;Dealer;79703;TX;4100 W Wall St Midland;4.5;319
All Star Auto LLC;Dealer;66203;KS;9301 Johnson Dr Merriam;4.3;67
All Star Ford of Denham Springs;Dealer;70726;LA;2586 Range Park Dr Denham Springs;4.5;142
All Star Nissan;Dealer;70726;LA;27700 Juban Road Denham Springs;4.6;193
Allen Mello Chrysler Dodge Jeep RAM;Dealer;3060;NH;13 Marmon Drive Nashua;3.7;231
Allen Samuels Chrysler Dodge Jeep Ram;Dealer;67502;KS;1421 E 30th Ave Hutchinson;4.5;164
Allen Samuels of Jackson;Dealer;38305;TN;1639 US-45 Bypass Jackson;4.7;344
Allen Turner Hyundai;Dealer;32505;FL;6501 PENSACOLA BLVD Pensacola;4.9;6724
ALM Gwinnett;Dealer;30096;GA;2520 Pleasant Hill Rd Duluth;4.6;1087
ALM Kennesaw;Dealer;30144;GA;2255 Barrett Lakes Blvd Kennesaw;4.7;989
ALM Kia South;Dealer;30291;GA;4310 Jonesboro Rd Union City;4.4;4247
ALM Mall of GA;Dealer;30518;GA;4228 Buford Drive Buford;4.4;750
ALM Marietta;Dealer;30060;GA;1071 Cobb Pkwy SE Marietta;4.7;3017
ALM Newnan;Dealer;30265;GA;40 International Park Newnan;4.6;452
Alpha Luxury Motors;Dealer;60515;IL;505 Ogden Ave Downers Grove;4.4;21
Alpha Motorsports Fredericksburg;Dealer;22408;VA;410 Hudgins Rd Fredericksburg;4.6;1129
Alpha Motorsports Manassas;Dealer;20110;VA;9120 Euclid Ave Manassas;4.7;108
Alpine Auto Gallery LLC;Dealer;7513;NJ;1039-1045 Market St Paterson;4.6;14
Alpine Ford;Dealer;81008;CO;2828 U.S. 50 Pueblo;4.7;811
Alternative Motor Group;Dealer;20152;VA;43112 John Mosby Hwy Chantilly;5;1
Alvarez Auto Sales;Dealer;99336;WA;5225 W Canal Dr Kennewick;3.6;7
Amazing Auto Center;Dealer;20743;MD;223 B West Hampton Ave Capitol Heights;2.6;5
Amazing Luxury Cars - Snellville;Dealer;30039;GA;3591 Highway 78 W Snellville;4.5;90
Ambar Motors;Dealer;33166;FL;4875 NW 77th Ave Doral;3.4;70
AMD Auto;Dealer;78240;TX;6322 WURZBACH RD San Antonio;3.4;10
American Motors of Jackson;Dealer;38305;TN;2282 N Highland Ave Jackson;4;14
Amesbury Chevrolet;Dealer;1913;MA;103 Macy St Amesbury;4.8;67
AMG Auto Route 35;Dealer;8879;NJ;6049 Rt. 35 South Amboy;4.9;365
Amko Auto Temple Hills;Dealer;20748;MD;4732 St Barnabas Rd Temple Hills;4.4;21
AMP AUTO COLLECTION LLC;Dealer;33304;FL;931 NE 4TH AVE FORT LAUDERDALE;3;2
Anderson Automotive;Dealer;1536;MA;122 Worcester Street North Grafton;5;41
Anderson Chrysler Dodge Jeep RAM;Dealer;86404;AZ;3920 N Highway 95 Lake Havasu City;4.4;90
Anderson Ford Lincoln;Dealer;68521;NE;2500 Wildcat Dr Lincoln;4.7;611
Anderson Nissan;Dealer;86404;AZ;3842 Highway 95 N Lake Havasu City;3.7;28
Anderson Toyota;Dealer;86404;AZ;6510 Showplace Ave. Lake Havasu City;4;33
ANDRES;Private;20120;VA;Centreville;4.3;182
Andy Mohr Buick GMC;Dealer;46038;IN;9295 East 131st Street Fishers;4.4;632
Andy Mohr Chevrolet;Dealer;46168;IN;2712 E. Main St. Plainfield;4.8;2027
Andy Mohr Ford;Dealer;46168;IN;2713 E. Main St. Plainfield;4.5;1768
Andy Mohr Honda;Dealer;47403;IN;1441 Liberty Dr Bloomington;4.5;216
Andy Mohr Kia;Dealer;46123;IN;8789 E US Hwy 36 Avon;4.8;908
Andy Mohr Toyota;Dealer;46123;IN;8941 E. US Highway 36 Avon;4.4;773
Angola Chrysler Dodge Jeep RAM;Dealer;46703;IN;1006 South Wayne Street Angola;5;1
Annapolis Hyundai;Dealer;21401;MD;935 WEST ST Annapolis;4.8;2567
Anthony;Private;60068;IL;Park Ridge;4.1;571
Antwerpen Chevrolet;Dealer;21784;MD;6110 Sykesville Road Eldersburg;5;5
Apex Imports;Dealer;27523;NC;1405 Vision Dr Apex;3.9;114
Apexcars.net;Dealer;94536;CA;4949 Thornton Ave Fremont;4.7;26
Apollo Auto Sales;Dealer;8080;NJ;573 Delsea Dr. Sewell;4.7;306
Apple Chevrolet;Dealer;60487;IL;8585 W 159th St Tinley Park;4.9;643
Apple Chrysler Dodge Jeep Ram of Shakopee;Dealer;55379;MN;1684 Weston Ct Shakopee;3.8;22
Apple Ford Lincoln Apple Valley;Dealer;55124;MN;7200 150th St W Apple Valley;4.7;1606
Apple Ford Shakopee;Dealer;55379;MN;1624 Weston Ct Shakopee;4.7;808
Apple Sport Imports;Dealer;78726;TX;11129 Ranch Rd 620 N Austin;4.8;338
Apple Tree Honda;Dealer;28732;NC;242 Underwood Rd. Fletcher;4;333
Applegate Chevrolet Company;Dealer;48503;MI;3637 S Saginaw St Flint;4.8;110
APX Auto Brokers;Dealer;98036;WA;20031 WA-99 Lynnwood;3.7;9
Arapahoe Hyundai;Dealer;80112;CO;9899 East Arapahoe Road Centennial;4.8;8522
Arapahoe Kia;Dealer;80112;CO;9701 E Arapahoe Rd Centennial;3.2;177
Ardmore Toyota;Dealer;19003;PA;219 Lancaster Ave Ardmore;4.8;1012
Aristocrat Motors;Dealer;66203;KS;9400 W 65th St Shawnee;4.8;1333
Aristocrat Motors Lee's Summit;Dealer;64081;MO;704 SE Oldham Parkway Lees Summit;5;5
Arko Auto Sales;Dealer;44095;OH;35925 Vine St Eastlake;4.3;11
Arlington Acura in Palatine;Dealer;60074;IL;1275 W Dundee Rd Palatine;4.7;1516
Arlington Heights Buick GMC;Dealer;60004;IL;777 west dundee rd Arlington heights;4.9;4788
Arlington Nissan;Dealer;60004;IL;1100 W Dundee Rd Arlington Heights;4.4;1153
Armory Chrysler Dodge Jeep Ram FIAT;Dealer;12205;NY;960 Central Ave Albany;4.6;787
Arnie Bauer Cadillac;Dealer;60443;IL;5525 Miller Cir Dr Matteson;4.6;2033
Arrigo Dodge Chrysler Jeep Ram Margate;Dealer;33063;FL;2250 N St Rd 7 Margate;4.2;1712
Arrigo Dodge Chrysler Jeep Ram Sawgrass;Dealer;33321;FL;5901 Madison Ave Tamarac;4.8;4437
Arrigo Dodge Chrysler Jeep Ram West Palm;Dealer;33411;FL;6500 Okeechobee Blvd West Palm Beach;4.5;1201
Arrow Motors Inc.;Dealer;19137;PA;2225 Wakeling St Philadelphia;4.3;8
Arrowhead BMW;Dealer;85308;AZ;19250 N. Loop 101 Glendale;2.9;76
Arrowhead Jaguar Land Rover;Dealer;85308;AZ;19350 N;1;3
Arrowhead Lexus;Dealer;85382;AZ;9238 W Bell Rd Peoria;4.7;96
Art Moehn Chevrolet;Dealer;49201;MI;2200 Seymour Rd Jackson;4.7;520
Asa Auto Plaza;Dealer;56143;MN;1001 US-71 Jackson;4.9;119
Ascension Honda;Dealer;70737;LA;13325 S. Airline Hwy Gonzales;4.2;194
ASTON MARTIN SUMMIT SHORT HILLS;Dealer;7901;NJ;326 Morris Ave Summit;4.5;20
Athens Dodge Chrysler Jeep RAM;Dealer;30606;GA;4175 Atlanta Highway Athens;4.6;52
Athens Ford;Dealer;30606;GA;4260 Atlanta Hwy Athens;4.8;1707
Atlanta Autos;Dealer;30062;GA;1001 Cobb Parkway N Marietta;4.3;1150
Atlanta Best Used Cars;Dealer;30071;GA;5141 Buford Hwy Norcross;4.4;1142
Atlanta Motorsports Sales;Dealer;30075;GA;10390 Alpharetta St. Roswell;3.2;31
Atlanta Toyota;Dealer;30096;GA;2345 Pleasant Hill Rd Duluth;4.6;909
Atlantic Chevrolet Cadillac;Dealer;11706;NY;1356 Sunrise Hwy Bay Shore;4.7;2237
Atlantic Hyundai;Dealer;11795;NY;193 Sunrise Hwy West Islip;4.6;3181
Atlantic Subaru;Dealer;2532;MA;124 Waterhouse Rd Bourne;4.3;142
Atlantic Toyota;Dealer;1905;MA;671 Lynnway Lynn;4.7;725
